MGA Name,Year Founded,Employees based on LI,Country,Capacity ,Funded By,Total Raised (VC),VC backed yes/no,Strategy (based on outside-in look),Products,Suspected Portfolio Size (1-5),Target Market Segment,Cyber Security/Claims Strategy,Incident Panel Participants,Documents - website,"Scale for cyber pure business (%)
Pure Cyber (90%-100%)
Mostly Cyber (50-89%)
Some Cyber (25-49%)
Niche (0-24%)",QualRisk connections via Daniel,Other QualRisk Connections,Last Updated Date,Website,Size,Market/Geographic Presence,Innovativeness ,Cybersecurity USP's,Cyber Security Competitive Advantage,Coverage Options and Flexibility,Claims Handling Network
"Coalition, Inc.",2017,547,US,$5bn (as of 16/2/23),"Allianz X
Valor Equity Partners
Kinetic Partners
+12 others ",$770m,Yes,Active insurance provider - prevent digital risk before it strikes,"1. Cyber Insurance
2. Active Monitoring
3. Tech E&O",,SME,new active cyber risk modelling - march 2023,,https://craft.co/coalition/competitors,,Yes,,,https://www.coalitioninc.com/,,,,,,,
Envelop,2016,42,UK,,"Softbank
Alpha Intelligence",$136m,Yes,"Data driven cyber underwriting
One of the first companies to apply an economic model to analyse cyber risk before studying its impact on insurance","1. Treaty Reinsurance (Bermuda)
2. Reinsurance contracts are combined with the technology that supports primary underwriting (London)
3. Data Stream - quote and bind platform for brokers (US)",,,"Collaboration across geographies to improve connection between insurance and cybersecurity industries
Identifies high demand in insurance for digital assets - models in development",,,,No,,,https://www.enveloprisk.com/,,,,,,,
Radius,2017,4,Bermuda (Parent Company),,Fidelis Group,,,,,,,,,,,No,,,https://www.radiusreinsurance.com/,,,,,,,
Boxx Insurance,2017,39,Canada,,Zurich,$24.3M,Yes,"All in one - insurance and protection
Predict, Prevent, Insure
","1. CyberBoxx Business - for small businesses
2. CyberBoxx Home - for households
3. BOXX Solutions - for coperate partnerships and enterprises",,All, ,,,,Yes,,,https://boxxinsurance.com/,,,,,,,
Intangic,2017,10,UK ,,AXA,-,No,,"1. CYFI™ - to assess cyber risk and predict losses. Capacity for large corperations. 
2. hybrid parametric cyber risk transfer",,Large Cooperate,,,,,No,,,https://intangic.com/,,,,,,,
Evolve,2015,39,"California, US",,-,-,No,,"1. Risk Management - mobile app, darktrace, blackfog (ransomware protection), Ninjaware (awareness training), Control Case (regulatory audit)
2. Mobile app - 24/7 monitoring, network scanning, phishing simulation, forensic expert advice, instantly notify claims
3. Cyber Coverage - wide coverage",,,,,,,No,,,https://evolvemga.com/,,,,,,,
Stoik,2021,51,"Paris, France",,"Alven
Andreessen Horowitz
The Delta",€14.8M,Yes,,"All in one cyber protection - scanning tools, phishing simulations, awareness training, ",,SME,,,,,Yes,,,https://www.stoik.io/en/,,,,,,,
Cogitanda,2016,103,"Altenahr, Germany",,-,-,No,,1. Audits and technical checks 2. Awareness Management 3. Cyber Security Consulting,,,,,,,Yes,,,https://www.cogitanda.com/en/,,,,,,,
Cowbell,,251,"California, US",,"Nyca Partners
Anthemis Group
Viola FinTech
PruVen Capital
Permira
+9 others",$123.3M,Yes,, 1.  Standalone Cyber Coverage based on revenue - Cowbell Prime 100 for businesses with up to $100M in revenue - Cowbell Prime 250 for businesses with up to $500M in revenue - Cowbell Prime Plus as an adaptive coverage option ,,,,,,,Kind of,,,https://cowbell.insure/,,,,,,,
CFC,,1240,"London, UK",,"EQT
Vitruvian Partners",,,,"1. Private Enterprise(medium sized companies) includes incident response, broad business, coverage for cybercrime and data breaches 2. Cyber(admitted) includes cyber security protection, incident response, and cover for cybercrime, ransomeware, and data breaches 3. Large corporate includes nil deductible for incident response, seniro officer liability for cyber events, technonology supply chain failure, cover for operational IT risk",,,,,,,Yes,,,https://www.cfc.com/en-us/,,,,,,,
