Firm,Year Founded,Headquartered in,Website,Size,Market Reach,Focus on Cyber
"Coalition, Inc.",2017,US,https://www.coalitioninc.com/,3,3,3
Envelop,2016,UK,https://www.enveloprisk.com/,2,3,2
Radius,2017,Bermuda (Parent Company),https://www.radiusreinsurance.com/,1,0,2
Boxx Insurance,2017,Canada,https://boxxinsurance.com/,2,0,3
Intangic,2017,UK,https://intangic.com/,1,0,3
Evolve,2015,"California, US",https://evolvemga.com/,2,0,3
Stoik,2021,"Paris, France",https://www.stoik.io/en/,2,0,3
Cogitanda,2016,"Altenahr, Germany",https://www.cogitanda.com/en/,2,0,3
Cowbell,,"California, US",https://cowbell.insure/,3,0,3
CFC,,"London, UK",https://www.cfc.com/en-us/,3,0,1
Corvus,,"Boston, US",https://www.corvusinsurance.com/,3,0,3
Baobab,,"Berlin, Germany",https://www.baobab.io/,1,0,3
Fusion,,"Kansas, US",https://fusionmga.com/,1,0,3
Optimum Specialty Risks,2017,"London, UK",https://www.optimumsr.co.uk/,1,0,3
Resilience,,"New York, US",https://www.cyberresilience.com/,2,0,3
Elpha Secure,2018,"New York, US",https://elphasecure.com/,1,0,3
Mosaic Insurance,2021,"Hamilton, Canada",https://www.mosaicinsurance.com/underwriting/cyber/,2,0,1
Bewica,2017,"London, UK",https://bewica.com/,1,0,3
Ptarmigan Underwriting,2011,"London, UK",https://www.ptarmiganunderwriting.com/,2,0,3
SafeInside Insurance,2022,"New York, US",https://www.safe.security/cyber-insurance/,2,0,3
EmergIn Risk,2010,"US, UK and European-based",https://emerginrisk.com/,1,0,2
Astaara Underwriting,2019,"London, UK",https://astaaragroup.com/service/underwriting,1,0,2
At-Bay,2016,"California, US",https://www.at-bay.com/,3,0,2
Acrisure?,,"Michigan, US",https://www.acrisure.com/,0,0,1
Alta Signa,,,https://www.altasigna.com/,0,0,1
Appalachian Underwriters,,,https://appund.com/divisions/brokerage/practiceGroups/professionalLiability,0,0,1
Euna Underwriting Limited,,,https://www.mgaa.co.uk/broker-services/euna-underwriting-limited/,0,0,0
Converge,,,https://convergeins.com/,0,0,3
Dual,,,https://www.dualgroup.com/cover-cyber,0,0,1
Ridge Canada,,,https://www.ridgecanada.insure/,0,0,3
