#,Link,Date,Firm,Headline
1,https://www.businesswire.com/news/home/20230214005202/en/Coalition-Active-Cyber-Insurance-Now-Available-to-Large-Enterprise-Businesses-with-Revenue-up-to-5-Billion,"14 Feb, 2023","Coalition, Inc.",Coalition Active Cyber Insurance Now Available to Large Enterprise Businesses with Revenue up to $5 Billion
2,https://www.techtarget.com/searchsecurity/news/366537465/Coalition-Employee-actions-are-driving-cyber-insurance-claims,16 May 2023,"Coalition, Inc.",Employee actions are driving cyber insurance claims
3,https://techcrunch.com/2022/07/08/coalition-insurance-cyber/,8 July 2022,"Coalition, Inc.",Cyber insurance startup Coalition plots global expansion as valuation hits $5B
4,https://www.businesswire.com/news/home/20230130005714/en/Coalition-Launches-Coalition-Insurance-Company,30 January 2023,"Coalition, Inc.",Coalition Launches Coalition Insurance Company
5,https://www.prnewswire.com/news-releases/coalition-completes-acquisition-of-insurance-carrier-with-licenses-in-all-50-states-301605491.html,"Apr 12, 2023","Coalition, Inc.",Coalition Completes Acquisition of Insurance Carrier With Licenses In All 50 States
6,https://www.prnewswire.com/news-releases/coalition-welcomes-vantage-to-provide-capacity-for-its-cyber-insurance-programs-301533847.html,"Jan 31, 2023","Coalition, Inc.",Coalition welcomes Vantage to provide capacity for its cyber insurance programs
7,https://www.prnewswire.com/news-releases/coalition-and-bdt-capital-partners-announce-the-launch-of-ferian-re-301648173.html,"January 31, 2023","Coalition, Inc.",Coalition and BDT Capital Partners Announce the Launch of Ferian Re
8,https://www.prnewswire.com/news-releases/coalition-introduces-new-apis-to-power-executive-risks-insurance-301671297.html,"January 30, 2023","Coalition, Inc.",Coalition Introduces New APIs to Power Executive Risks Insurance
9,https://www.prnewswire.com/news-releases/ascot-backs-coalition-with-long-term-capacity-across-cyber-insurance-programs-301518700.html,"January 30, 2023","Coalition, Inc.",Ascot backs Coalition with long-term capacity across cyber insurance programs
10,https://www.prnewswire.com/news-releases/coalition-launches-tech-powered-executive-risks-products-with-personalized-risk-assessment-for-all-us-small-businesses-301472214.html,"08 Nov, 2022","Coalition, Inc.",Coalition launches tech-powered executive risks products with personalized risk assessment for all US small businesses
11,https://www.prnewswire.com/news-releases/coalition-launches-captive-to-accelerate-its-growth-in-cyber-insurance-301442749.html,"13 Oct, 2022","Coalition, Inc.",Coalition Launches Captive to Accelerate its Growth in Cyber Insurance
12,https://www.prnewswire.com/news-releases/coalition-launches-new-tech-powered-executive-risks-products-for-small-businesses-301418162.html,"16 Aug, 2022","Coalition, Inc.",Coalition Launches New Tech Powered Executive Risks Products for Small Businesses
13,https://www.prnewswire.com/news-releases/coalition-has-teamed-up-with-quickbooks-to-offer-leading-cyber-insurance-coverage-to-small-businesses-301309674.html,"15 Aug, 2022","Coalition, Inc.",Coalition has teamed up with QuickBooks to Offer Leading Cyber Insurance Coverage to Small Businesses
14,https://www.prnewswire.com/news-releases/leading-cyber-insurance-provider-coalition-launches-free-risk-management-platform-to-help-organizations-combat-ransomware-and-cyber-risk-301293410.html,"Aug 09, 2022","Coalition, Inc.","Leading Cyber Insurance Provider, Coalition, Launches Free Risk Management Platform to Help Organizations Combat Ransomware and Cyber Risk"
15,https://www.prnewswire.com/news-releases/coalition-raises-175m-to-build-the-future-of-commercial-insurance-301248986.html,"July 8, 2022","Coalition, Inc.",Coalition Raises $175M to Build the Future of Commercial Insurance
16,https://www.prnewswire.com/news-releases/swiss-re-corporate-solutions-and-coalition-extend-strategic-agreement-301245160.html,"27 Apr, 2022","Coalition, Inc.",Swiss Re Corporate Solutions and Coalition Extend Strategic Agreement
17,https://www.prnewswire.com/news-releases/coalition-launches-market-leading-admitted-cyber-insurance-offering-in-florida-301113044.html,"06 Apr, 2022","Coalition, Inc.",Coalition Launches Market Leading Admitted Cyber Insurance Offering in Florida
18,https://www.prnewswire.com/news-releases/coalition-enters-excess-cyber-insurance-market-301097844.html,"01 Feb, 2022","Coalition, Inc.",Coalition Enters Excess Cyber Insurance Market
19,https://www.prnewswire.com/news-releases/coalition-launches-disruptive-cyber-insurance--security-offering-in-canada-301059043.html,"13 Dec, 2021","Coalition, Inc.",Coalition Launches Disruptive Cyber Insurance & Security Offering In Canada
20,https://www.prnewswire.com/news-releases/coalition-named-to-the-2018-cb-insights-fintech-250-list-of-fastest-growing-fintech-startups-300738163.html,"08 Nov, 2021","Coalition, Inc.",Coalition Named to the 2018 CB Insights Fintech 250 List of Fastest-Growing Fintech Startups
21,https://www.prnewswire.com/news-releases/coalition-introduces-new-coverage-for-cryptomining-and-fraudulent-use-of-business-services-300700704.html,"10 Jun, 2021","Coalition, Inc.",Coalition Introduces New Coverage For Cryptomining And Fraudulent Use Of Business Services
22,https://www.prnewswire.com/news-releases/big-i-markets-partners-with-coalition-to-offer-cyber-and-technology-eo-coverage-300664755.html,"18 May, 2021","Coalition, Inc.","Big ""I"" Markets Partners with Coalition to Offer Cyber and Technology E&O Coverage"
23,https://www.prnewswire.com/news-releases/coalition-announces-cyber-insurance-for-smart-buildings-comprehensive-coverage-for-real-estate-developers-and-property-managers-300657090.html,"17 Mar, 2021","Coalition, Inc.",Coalition Announces Cyber Insurance for Smart Buildings: Comprehensive Coverage for Real Estate Developers and Property Managers
24,https://www.prnewswire.com/news-releases/hackerone-joins-forces-with-coalition-to-bring-hacker-powered-security-to-cyber-insurance-policyholders-300597684.html,"17 Mar, 2021","Coalition, Inc.",HackerOne Joins Forces with Coalition to Bring Hacker-Powered Security to Cyber Insurance Policyholders
28,https://www.insurancebusinessmag.com/us/news/cyber/coalition-launches-new-insurance-carrier-business-434544.aspx,"11 Mar, 2021","Coalition, Inc.",Coalition launches new insurance carrier business
29,https://www.insurancebusinessmag.com/us/news/technology/coalition-launches-new-ai-initiative-442434.aspx,"17 Aug, 2020","Coalition, Inc.",Coalition launches new AI initiative
30,https://www.insurancebusinessmag.com/us/news/cyber/coalition-swoops-for-pandc-firm-416977.aspx,"22 Jul, 2020","Coalition, Inc.",Coalition swoops for P&C firm
31,https://www.insurancebusinessmag.com/us/news/cyber/coalition-announces-three-key-appointments-416165.aspx,"14 May, 2020","Coalition, Inc.",Coalition announces three key appointments
32,https://www.coalitioninc.com/announcements/coalition-releases-security-vulnerability-exploit-scoring-system,"25 Oct, 2018","Coalition, Inc.",Coalition Releases Security Vulnerability Exploit Scoring System
33,https://finance.yahoo.com/news/coalition-launches-coalition-insurance-company-212600925.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAANb0dUqwzx2B04JYTajNIsiQ5flkEfyqs5MPkIVVZWARUOGXL3qXBmI74B3oy5wdagJmlZf_LGblcSyy7rn1Wg5OAdpprHPgykzSWCQRVZP8ciiUqQuUCbQQTkPtWrg1MTSE2RCQhEAMrX6yPjJY97CC4GuEAdvrGyeNZvof_hhf,"22 Aug, 2018","Coalition, Inc.",Coalition Launches Coalition Insurance Company
34,https://www.bloomberg.com/press-releases/2023-06-15/coalition-releases-security-vulnerability-exploit-scoring-system,"12 Jun, 2018","Coalition, Inc.",Coalition Releases Security Vulnerability Exploit Scoring System
35,https://www.dailyhostnews.com/am-best-assigns-credit-ratings-to-coalition-insurance-company,"31 May, 2018","Coalition, Inc.",AM Best Assigns Credit Ratings to Coalition Insurance Company
36,https://www.newswire.ca/news-releases/coalition-raises-175m-to-build-the-future-of-commercial-insurance-860192830.html,"13 Feb, 2018","Coalition, Inc.",Coalition Raises $175M to Build the Future of Commercial Insurance
,,,,
37,https://www.enveloprisk.com/news/jonathan-spry-global-reinsurance-roundtable/,"10 Sep, 2019",Envelop,Envelop CEO Jonathan Spry takes part in Global Reinsurance Roundtable in Monte Carlo debating how technology will shape the Market by 2030
38,https://www.theinsurer.com/reinsurancemonth/envelop-risk-launches-partnership-initiative-to-aid-cyber-market-growth/,"13 Sep, 2023",Envelop,Envelop Risk launches partnership initiative to aid cyber market growth
39,https://www.insurancejournal.com/news/international/2023/09/11/739763.htm,"11 Sep, 2023",Envelop,Markets/Coverages: Reinsurance MGA Envelop Risk Launches Program to Aid Cedents’ Entry Into Cyber
40,https://www.intelligentinsurer.com/news/envelop-risk-launches-new-cyber-risk-initiative-for-cedents-33600,"14 Sep, 2023",Envelop,Envelop Risk launches new cyber risk initiative for cedents
41,https://www.reinsurancene.ws/envelop-risk-launches-cyber-partnership-platforms/,"12 Sep, 2023",Envelop,Envelop Risk launches Cyber Partnership Platforms
42,https://coverager.com/envelop-risk-launches-cyber-partnership-platforms/,"14 Sep, 2023",Envelop,Envelop Risk launches Cyber Partnership Platforms
